Index: 0, Sentence: ルフィが山賊に囲まれ、危機的な状況に追い込まれる。, Is First Line: True, Length: 24 
Index: 1, Sentence: 仲間を求める声が届かず、仲間たちは焦りを隠せない。, Is First Line: False, Length: 24 
Index: 2, Sentence: 山賊はルフィを人質に取り、海へと逃げ出す。, Is First Line: False, Length: 20 
Index: 3, Sentence: 直後、ルフィは無情に海に蹴り落とされるが、運命の瞬間が訪れる。, Is First Line: False, Length: 30 
Index: 4, Sentence: 山賊は怒りの海の怪物に捕らわれ、恐怖が広がる。, Is First Line: False, Length: 22 
Index: 5, Sentence: ルフィも怪物の口に狙われ、一瞬の恐怖に包まれた。, Is First Line: False, Length: 23 
Index: 6, Sentence: そんな中、シャンクスが力強く登場し、危険を退けようとする。, Is First Line: False, Length: 28 
Index: 7, Sentence: その瞬間、シャンクスはルフィを守るために腕を失う。, Is First Line: False, Length: 24 
Index: 8, Sentence: ルフィは山賊に捕まり、危機的な状況に置かれる。, Is First Line: False, Length: 22 
Index: 9, Sentence: 仲間を倒され怒る山賊が、ルフィを人質に取って逃げようとする。, Is First Line: False, Length: 29 
Index: 10, Sentence: 山賊は、ルフィを海へ蹴り落としてしまう。, Is First Line: False, Length: 19 
Index: 11, Sentence: すると、山賊は恐ろしい海の怪物に食べられてしまった。, Is First Line: False, Length: 25 
Index: 12, Sentence: ルフィも同様にモンスターに襲われ、絶体絶命の危機に。, Is First Line: False, Length: 25 
Index: 13, Sentence: シャンクスがすかさずルフィを救い、怪物を撃退する。, Is First Line: False, Length: 24 
Index: 14, Sentence: だが、シャンクスはその代償として腕を失ってしまう。, Is First Line: False, Length: 24 
Index: 15, Sentence: ルフィは山賊の襲撃に苦しんでいた。, Is First Line: False, Length: 16 
Index: 16, Sentence: 絶望的な状況から、海賊シャンクスが仲間と共に現れた。, Is First Line: False, Length: 25 
Index: 17, Sentence: 山賊は仲間を失い、ルフィを人質に海へと逃げようとする。, Is First Line: False, Length: 26 
Index: 18, Sentence: ルフィが海に蹴り落とされた瞬間、山賊は怪物に捕らわれた。, Is First Line: False, Length: 27 
Index: 19, Sentence: ルフィもまた、怪物の牙に狙われるが、シャンクスが駆けつけて救出に向かった。, Is First Line: False, Length: 36 
Index: 20, Sentence: 彼は怪物を撃退するが、ルフィを守ろうとして腕を失ってしまう。, Is First Line: False, Length: 29 
Index: 21, Sentence: ルフィが山賊に足を踏まれ、苦悶の表情を浮かべている。, Is First Line: False, Length: 25 
Index: 22, Sentence: その様子を見た仲間たちが、助けを求めて叫ぶ。, Is First Line: False, Length: 21 
Index: 23, Sentence: 山賊は、ルフィを人質に取って取り乱し、海へと逃げようとする。, Is First Line: False, Length: 29 
Index: 24, Sentence: 猛然と海へと蹴り落とされ、ルフィは危機に直面する。, Is First Line: False, Length: 24 
Index: 25, Sentence: しかし、その瞬間、海の怪物が現れ、山賊を一口で飲み込む。, Is First Line: False, Length: 27 
Index: 26, Sentence: 次に怪物がルフィに迫り、絶体絶命のピンチに陥るが、シャンクスが現れて彼を救出する。, Is First Line: False, Length: 40 
Index: 27, Sentence: 怪物を退治するものの、シャンクスはルフィを庇うために腕を失ってしまった。, Is First Line: False, Length: 35 
Index: 28, Sentence: ルフィは山賊たちに捕まり、絶体絶命の危機に立たされる。, Is First Line: False, Length: 26 
Index: 29, Sentence: 彼を救うため、海賊シャンクスが颯爽と現れる。, Is First Line: False, Length: 21 
Index: 30, Sentence: 仲間を失った山賊は、ルフィを人質にして逃げようと企む。, Is First Line: False, Length: 26 
Index: 31, Sentence: 山賊はルフィを海に蹴り落とし、彼もまたそのまま飲み込まれそうになる。, Is First Line: False, Length: 33 
Index: 32, Sentence: 恐ろしい怪物が現れ、ルフィを喰らおうとするが、シャンクスが飛び込んで救い出す。, Is First Line: False, Length: 38 
Index: 33, Sentence: 怪物を撃退するも、邪魔をしたためにシャンクスは大きな代償を払うことになる。, Is First Line: False, Length: 36 
Index: 34, Sentence: ルフィは山賊に襲われ、絶体絶命の危機に直面する。, Is First Line: False, Length: 23 
Index: 35, Sentence: 仲間を失った山賊は、慌ててルフィを人質にとる。, Is First Line: False, Length: 22 
Index: 36, Sentence: 海へ逃げる山賊によって、ルフィは海に蹴り落とされてしまう。, Is First Line: False, Length: 28 
Index: 37, Sentence: そこに現れたのは、海賊のシャンクス一団だった。, Is First Line: False, Length: 22 
Index: 38, Sentence: 山賊は海の怪物に食べられ、ルフィも危険に晒される。, Is First Line: False, Length: 24 
Index: 39, Sentence: シャンクスがルフィを救おうとするが、奮闘の末に腕を失ってしまった。, Is First Line: False, Length: 32 
Index: 40, Sentence: 山賊たちがルフィを囲み、その狙いを定める。, Is First Line: False, Length: 20 
Index: 41, Sentence: 彼は驚きと恐怖の表情を浮かべながら、命の危機を感じ取る。, Is First Line: False, Length: 27 
Index: 42, Sentence: シャンクスの一団が現れ、ルフィを助けようと叫ぶ。, Is First Line: False, Length: 23 
Index: 43, Sentence: 仲間を倒された山賊は、ルフィを人質に逃げようとするが、すぐ後ろの海に恐怖が待っている。, Is First Line: False, Length: 42 
Index: 44, Sentence: 山賊はルフィを海へ蹴り落とし、自らは怪物の餌食となる。, Is First Line: False, Length: 26 
Index: 45, Sentence: ルフィも怪物の口に飲み込まれかけるが、シャンクスがすぐに飛び込み助けに入る。, Is First Line: False, Length: 37 
Index: 46, Sentence: 怪物を撃退したが、シャンクスは自らの腕を失ってしまった。, Is First Line: False, Length: 27 
Index: 47, Sentence: ルフィは山賊に襲われ、危機に陥る。, Is First Line: False, Length: 16 
Index: 48, Sentence: しばらくして、海賊シャンクスの一団が駆けつける。, Is First Line: False, Length: 23 
Index: 49, Sentence: 仲間を失った山賊は、ルフィを人質に海へ逃げ出す。, Is First Line: False, Length: 23 
Index: 50, Sentence: 山賊はルフィを海に蹴り落とし、その瞬間、自身が怪物に食べられる。, Is First Line: False, Length: 31 
Index: 51, Sentence: ルフィもまた怪物に飲み込まれそうになり、絶体絶命。, Is First Line: False, Length: 24 
Index: 52, Sentence: そこへシャンクスが現れ、果敢に怪物に立ち向かう。, Is First Line: False, Length: 23 
Index: 53, Sentence: シャンクスはルフィを救うが、怪物に左腕を奪われてしまう。, Is First Line: False, Length: 27 
Index: 54, Sentence: ルフィは山賊に囲まれ、絶体絶命の危機に陥っていた。, Is First Line: False, Length: 24 
Index: 55, Sentence: すると、海賊シャンクスの一団が颯爽と現れ、敵に立ち向かう。, Is First Line: False, Length: 28 
Index: 56, Sentence: 山賊は捕らえたルフィを人質にし、海へと逃げようとする。, Is First Line: False, Length: 26 
Index: 57, Sentence: ルフィが海に突き落とされると、山賊は怪物に食べられてしまう。, Is First Line: False, Length: 29 
Index: 58, Sentence: 続いてルフィも怪物に襲われるが、その瞬間、シャンクスが助けに飛び込んできた。, Is First Line: False, Length: 37 
Index: 59, Sentence: シャンクスは怪物を撃退するも、ルフィをかばって腕を失ってしまった。, Is First Line: False, Length: 32 
